Player,Pos.,Years Active,Career Earnings,Cap-Inflated Earnings
Aaron Rodgers,QB,2005_,343531094,546133077
Matt Stafford,QB,2009_,328000000,507909318
Tom Brady,QB,2000_2022,317619794,600482947
Matt Ryan,QB,2008_2022,306205882,501677687
Russell Wilson,QB,2012_,304130123,407222196
Kirk Cousins,QB,2012_,281469288,364088971
Drew Brees,QB,2001_2020,273933000,514107505
Ben Roethlisberger,QB,2004_2021,266724382,474558875
Peyton Manning,QB,1998_2015,247714000,645365904
Philip Rivers,QB,2004_2020,242150000,454718983
Dak Prescott,QB,2016_,239895725,289497402
Jared Goff,QB,2016_,233995672,287408957
Eli Manning,QB,2004_2019,232490000,450736327
Alex Smith,QB,2005_2020,210000000,375106756
Trent Williams,LT,2010_,197259199,299499599
Ryan Tannehill,QB,2012_2023,195050979,273540493
Larry Fitzgerald,WR,2004_2020,182490000,361130764
Von Miller,EDGE,2011_,179283214,267585625
Joe Flacco,QB,2008_,177435338,309890042
Carson Palmer,QB,2003_2017,172500000,379361319
Ndamukong Suh,"DT, DE",2010_2022,168007206,294186858
Derek Carr,QB,2014_,165519283,222531423
Khalil Mack,EDGE,2014_,162518002,220410609
Aaron Donald,DE,2014_2023,162028500,215332592
Julius Peppers,EDGE,2002_2018,159297706,353347996
Jimmy Garoppolo,QB,2014_,150775589,201497852
Julio Jones,WR,2011_2023,147319044,226203835
Calais Campbell,DE,2008_,143784500,230803234
Deshaun Watson,QB,2017_,142761982,177684464
Brett Favre,QB,1991_2010,141407000,492125507
DeAndre Hopkins,WR,2013_,138996144,188012806
Patrick Mahomes,QB,2017_,136152962,170188100
Amari Cooper,WR,2015_,135780453,177467832
Joey Bosa,EDGE,2016_,134873672,175642271
Cam Newton,QB,2011_2021,134735498,222468878
Leonard Williams,DE,2015_,134382368,173144425
Mario Williams,EDGE,2006_2016,132400000,273447836
Mike Evans,WR,2014_,132076692,174004392
Chandler Jones,EDGE,2012_2022,131507054,184803988
Carson Wentz,QB,2016_,130382896,176664752
Cameron Heyward,DE,2011_,130255028,181601890
